ax_axis,ay_axis,az_axis,magn_z,x_axis,y_axis,z_axis,activity_type
-2,1,1,0,12,-20,48,pause
-1,1,1,0,28,-10,28,pause
-1,1,1,0,28,-10,28,pause
0,2,1,0,5,-6,10,pause
1,2,1,0,19,-1,1,pause
0,0,1,0,19,-1,1,pause
-1,1,1,0,31,17,25,pause
0,1,0,0,5,28,21,pause
0,1,0,0,11,35,21,pause
0,1,-1,0,11,35,21,pause
0,1,-1,0,17,41,31,pause
0,1,-1,0,17,41,31,pause
0,2,-1,0,21,36,11,pause
0,1,-2,0,35,18,-6,pause
-2,1,-1,0,35,18,-6,pause
-2,0,-1,0,35,-4,20,pause
-2,1,-1,0,35,-4,20,pause
-2,1,0,0,17,-18,27,pause
-2,1,0,0,47,-25,28,pause
-2,1,1,0,47,-25,28,pause
-1,1,1,0,9,-27,15,pause
-1,1,1,0,9,-27,15,pause
0,1,1,0,49,-5,0,pause
1,2,1,0,-40,-37,23,pause
0,2,1,0,-40,-37,23,pause
0,0,0,0,-96,-21,60,pause
0,3,1,0,-36,24,6,pause
1,-2,2,0,-126,-22,-7,pause
0,-1,0,0,-126,-22,-7,pause
0,0,0,0,0,-1,-1,pause
0,0,0,0,1,-5,-7,pause
0,0,0,0,1,-6,-1,pause
0,0,0,0,1,-6,-1,pause
0,0,0,0,1,-6,-1,pause
0,0,0,0,1,-6,-1,pause
0,0,0,0,0,-5,-2,pause
0,0,0,0,1,-3,-4,pause
0,0,0,0,1,-3,-4,pause
0,0,0,0,-1,-3,-1,pause
0,0,0,0,-1,-3,-1,pause
0,0,0,0,0,-2,-2,pause
0,0,0,0,1,-1,-2,pause
0,0,0,0,1,-1,-2,pause
0,0,0,0,0,-2,-3,pause
0,0,0,0,0,-2,-2,pause
0,0,0,0,1,-2,-2,pause
0,0,0,0,1,-2,-2,pause
0,0,0,0,1,-2,-2,pause
0,0,0,0,1,-2,-2,pause
0,0,0,0,1,-2,-2,pause
0,0,0,0,1,-2,0,pause
0,0,0,0,1,-2,0,pause
0,0,0,0,1,-1,-1,pause
0,0,0,0,1,-1,-1,pause
0,0,0,0,2,1,0,pause
0,0,0,0,2,1,1,pause
0,0,0,0,2,1,1,pause
0,0,0,0,2,1,1,pause
0,0,0,0,2,1,1,pause
0,0,0,0,2,1,0,pause
0,0,0,0,1,-1,1,pause
0,0,0,0,1,-1,1,pause
0,0,0,0,1,-2,1,pause
0,0,0,0,1,-3,1,pause
0,0,0,0,2,-1,1,pause
0,0,0,0,2,-1,1,pause
0,0,0,0,1,-1,0,pushups
0,0,0,0,1,-1,0,pushups
0,0,0,0,1,0,-1,pushups
0,0,0,0,1,-1,-1,pushups
0,0,0,0,1,-1,-1,pushups
0,0,0,0,2,0,-1,pushups
0,0,0,0,2,0,-1,pushups
0,0,0,0,1,-1,-1,pushups
0,0,0,0,1,-4,2,pushups
0,0,0,0,1,-4,2,pushups
0,0,0,0,0,-8,-1,pushups
0,0,0,0,0,-8,-1,pushups
0,0,0,0,6,-4,-2,pushups
0,0,0,0,3,-5,2,pushups
0,0,0,0,3,-5,2,pushups
0,0,0,0,3,-1,3,pushups
0,0,0,0,3,-1,3,pushups
0,0,0,0,6,9,0,pushups
0,0,0,0,3,4,-3,pushups
0,0,0,0,1,1,-2,pushups
0,0,0,0,1,1,-2,pushups
0,0,0,0,1,-3,-2,pushups
0,0,0,0,0,-4,-3,pushups
0,0,0,0,0,-4,-3,pushups
0,0,0,0,1,-6,-1,pushups
0,0,0,0,1,-6,-1,pushups
0,0,0,0,4,-11,-4,pushups
0,0,0,0,12,-8,-5,pushups
0,0,1,0,12,-8,-5,pushups
0,1,2,0,8,0,-20,pushups
2,0,-2,0,8,0,-20,pushups
1,0,0,0,65,5,-3,pushups
1,2,1,0,55,6,55,pushups
0,0,0,0,55,6,55,pushups
-1,-5,-2,0,-41,22,44,pushups
-1,5,-1,0,-41,22,44,pushups
-1,0,0,0,-87,32,11,pushups
-1,0,-1,0,-5,51,16,pushups
-1,0,-1,0,-2,42,5,pushups
-1,0,-1,0,-2,42,5,pushups
-1,0,-1,0,13,42,-8,pushups
-1,0,-1,0,10,32,-16,pushups
-1,0,-1,0,10,32,-16,pushups
-1,0,-1,0,3,14,-5,pushups
0,0,-1,0,3,14,-5,pushups
0,0,-1,0,2,1,7,pushups
0,0,0,0,6,1,6,pushups
0,0,-1,0,6,1,6,pushups
0,0,0,0,-1,-12,-11,pushups
0,-1,0,0,-2,-15,-25,pushups
0,0,0,0,0,-13,-11,pushups
0,0,0,0,0,-13,-11,pushups
0,0,0,0,8,3,-10,pushups
0,0,0,0,8,3,-10,pushups
0,0,0,0,0,-5,-6,pushups
0,0,0,0,1,-1,-1,pushups
0,0,0,0,1,-1,-1,pushups
0,0,0,0,1,-1,-3,pushups
0,0,0,0,1,-1,-3,pushups
0,0,0,0,2,1,-8,pushups
0,0,0,0,1,2,-4,pushups
0,0,0,0,1,2,-4,pushups
0,0,0,0,4,8,-2,pushups
0,0,0,0,3,5,-4,pushups
0,0,0,0,2,-1,-2,pushups
0,0,0,0,2,-1,-2,pushups
0,0,0,0,4,-3,-3,pushups
0,0,0,0,4,-3,-3,pushups
0,0,0,0,6,-1,-7,pushups
0,0,0,0,3,-9,-9,pushups
0,0,0,0,-1,-13,0,pushups
0,0,0,0,-1,-13,0,pushups
0,0,0,0,-1,-8,-3,pushups
0,0,0,0,-2,-8,-7,pushups
0,0,0,0,-2,-8,-7,pushups
0,0,1,0,3,-3,-2,pushups
0,0,0,0,3,-3,-2,pushups
0,0,0,0,6,6,-6,pushups
0,0,0,0,0,-2,0,pushups
0,0,0,0,0,-2,0,pushups
0,0,0,0,13,-8,-4,pushups
0,1,0,0,51,2,7,pushups
-1,0,0,0,70,-8,-22,pushups
-4,12,-1,0,70,-8,-22,pushups
2,0,5,0,180,22,61,pushups
4,-3,-1,0,180,22,61,pushups
3,-4,-1,0,-75,-7,94,pushups
-9,19,-3,0,-132,-26,11,pushups
0,-2,1,0,-132,-26,11,pushups
1,-3,0,0,-41,20,-40,pushups
1,-3,0,0,-41,20,-40,pushups
0,-2,0,0,-15,21,-55,pushups
0,-2,-1,0,-2,37,-69,pushups
0,-3,-1,0,-2,37,-69,pushups
0,-2,-1,0,2,20,-68,pushups
1,-3,-1,0,2,20,-68,pushups
1,-3,0,0,-4,-4,-50,pushups
1,-3,0,0,5,3,-29,pushups
0,-1,0,0,5,3,-29,pushups
1,-2,-1,0,4,16,-9,pushups
0,0,0,0,-3,5,10,pushups
0,0,0,0,4,10,1,pushups
0,0,0,0,4,10,1,pushups
0,0,0,0,-3,-12,0,pushups
0,0,0,0,-3,-12,0,pushups
0,0,0,0,-7,-4,10,pushups
0,0,0,0,-3,2,33,pushups
0,0,0,0,-3,2,33,pushups
0,1,0,0,-1,-9,56,pushups
0,1,0,0,-1,-9,56,pushups
0,1,1,0,-15,-36,83,pushups
0,2,1,0,14,-27,90,pushups
0,3,1,0,19,-12,9,pushups
0,2,0,0,19,-12,9,pushups
0,0,1,0,-7,-1,-30,pushups
0,1,0,0,-10,18,-74,pushups
0,-1,0,0,-10,18,-74,pushups
0,-1,-1,0,8,39,-96,pushups
0,-1,-1,0,8,39,-96,pushups
0,-1,0,0,7,10,-69,pushups
0,-2,0,0,6,8,-42,pushups
0,-2,0,0,6,8,-42,pushups
1,-2,0,0,1,6,-14,pushups
0,-1,0,0,1,6,-14,pushups
0,-1,0,0,1,4,0,pushups
0,0,0,0,-4,-6,-2,pushups
0,-1,0,0,-7,-13,0,pushups
0,0,0,0,-7,-13,0,pushups
0,0,0,0,-2,-3,20,pushups
0,0,0,0,-3,-8,56,pushups
0,0,0,0,-3,-8,56,pushups
-1,1,0,0,-4,-21,93,pushups
-1,2,0,0,-4,-21,93,pushups
0,3,1,0,-12,-50,116,pushups
-1,0,0,0,5,-28,21,pushups
0,3,1,0,-8,-5,-9,pushups
0,-1,1,0,-8,-5,-9,pushups
0,0,0,0,-7,24,-53,pushups
0,-1,0,0,8,45,-86,pushups
0,-1,-1,0,8,45,-86,pushups
0,-2,0,0,9,22,-64,pushups
0,-2,-1,0,9,22,-64,pushups
0,-1,-1,0,6,23,-39,pushups
0,-1,0,0,2,23,-12,pushups
0,-1,0,0,-1,3,8,pushups
0,0,0,0,-1,3,8,pushups
0,0,0,0,0,-8,-5,pushups
6,3,-2,0,-2,-18,-3,pushups
-1,-1,1,0,-2,-18,-3,pushups
-1,-1,1,0,-5,-13,16,pushups
-7,-4,2,0,-5,-13,16,pushups
1,0,-1,0,1,-2,39,pushups
0,1,0,0,-4,-19,76,pushups
0,1,0,0,-4,-19,76,pushups
0,2,1,0,-21,-54,111,pushups
-3,1,1,0,-21,-54,111,pushups
1,4,1,0,22,-25,51,pushups
1,2,1,0,-20,-22,-7,pushups
2,3,0,0,-20,-22,-7,pushups
3,2,0,0,-1,12,-32,pushups
-1,0,0,0,-1,12,-32,pushups
0,-1,0,0,1,27,-70,pushups
0,-2,-1,0,9,34,-89,pushups
0,-2,0,0,7,29,-69,situps
0,-1,-1,0,7,29,-69,situps
0,-2,-1,0,6,21,-40,situps
0,-2,-1,0,1,13,-12,situps
0,-1,0,0,1,13,-12,situps
0,-1,0,0,1,8,1,situps
0,-1,-1,0,1,8,1,situps
0,-1,-1,0,-2,2,-3,situps
0,-1,0,0,-5,-20,-3,situps
0,0,0,0,-5,-20,-3,situps
0,0,0,0,-5,-16,12,situps
0,0,0,0,-1,-7,35,situps
0,0,0,0,-5,-15,70,situps
0,1,0,0,-5,-15,70,situps
-1,2,1,0,-14,-38,102,situps
-1,3,1,0,-14,-38,102,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
0,4,1,0,3,-28,65,situps
1,-3,-1,0,-4,13,4,situps
0,-2,-1,0,-4,13,4,situps
0,-1,0,0,1,8,9,situps
0,-1,-1,0,1,8,9,situps
0,-1,-1,0,2,1,-1,situps
0,-1,0,0,-3,-18,1,situps
0,0,0,0,-3,-18,1,situps
0,0,0,0,-7,-17,17,situps
0,0,0,0,-7,-17,17,situps
0,0,0,0,0,-7,39,situps
0,0,0,0,-1,-14,68,situps
0,1,0,0,-1,-14,68,situps
0,1,0,0,-26,-48,102,situps
0,3,1,0,-26,-48,102,situps
0,3,1,0,5,-24,57,situps
0,1,1,0,-5,-15,-16,situps
0,1,1,0,-5,-15,-16,situps
0,0,0,0,1,13,-28,situps
0,0,0,0,8,26,-58,situps
0,0,0,0,11,36,-71,situps
0,-1,-1,0,11,36,-71,situps
0,-2,0,0,7,19,-58,situps
0,-1,0,0,7,19,-58,situps
0,-2,-1,0,7,25,-38,situps
0,-1,0,0,0,-2,-10,situps
0,-1,0,0,0,-2,-10,situps
0,-1,-1,0,0,12,4,situps
0,0,-1,0,0,12,4,situps
0,0,-1,0,3,12,0,situps
0,0,0,0,-4,-18,-1,situps
0,0,0,0,-4,-18,-1,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
0,-1,0,0,-3,-17,2,situps
8,7,10,0,-44,-3,-3,situps
3,3,3,0,-46,140,-55,situps
-3,-1,1,0,-34,168,-29,situps
-3,-1,0,0,-34,168,-29,situps
-1,-1,-1,0,-75,136,-19,situps
-1,-1,-1,0,-68,113,-9,situps
-1,-1,-1,0,-97,61,6,situps
-1,-1,-1,0,-97,61,6,situps
-1,-2,-1,0,-97,31,13,situps
-1,-1,1,0,-97,31,13,situps
-1,1,-2,0,93,-14,-12,situps
-1,1,-2,0,93,-14,-12,situps
0,0,-1,0,28,-32,-4,situps
0,0,0,0,28,-32,-4,situps
0,0,1,0,45,-33,-17,situps
0,0,1,0,37,-56,-19,situps
1,0,0,0,37,-56,-19,situps
2,1,1,0,83,-67,-40,situps
1,1,0,0,83,-67,-40,situps
1,0,1,0,88,-95,-18,situps
0,1,0,0,92,-105,9,situps
1,1,2,0,92,-105,9,situps
0,1,2,0,67,-106,17,situps
2,2,3,0,67,-106,17,situps
1,2,3,0,36,-91,27,situps
2,2,2,0,27,-80,30,situps
2,2,2,0,27,-80,30,situps
2,2,0,0,21,-35,11,situps
2,1,1,0,-49,22,-6,situps
-1,0,-1,0,-50,84,-11,situps
-1,0,-1,0,-50,84,-11,situps
0,-1,-3,0,-9,108,-17,situps
0,-1,-3,0,-9,108,-17,situps
1,0,-2,0,-62,53,-15,situps
-1,-1,-2,0,-85,18,6,situps
-3,-1,-1,0,-85,18,6,situps
-3,-1,-1,0,-85,18,6,situps
-1,2,2,0,-91,-65,-7,situps
0,-1,0,0,-91,-65,-7,situps
0,-1,-1,0,38,-43,-5,situps
0,-1,0,0,38,-43,-5,situps
0,0,0,0,87,-43,-3,situps
1,0,-1,0,87,-43,-3,situps
1,1,-1,0,48,-78,-31,situps
0,1,0,0,79,-81,-17,situps
0,1,1,0,81,-87,8,situps
0,1,1,0,81,-87,8,situps
1,2,1,0,68,-97,15,situps
1,2,2,0,51,-78,20,situps
2,2,2,0,51,-78,20,situps
2,2,2,0,47,-60,23,situps
2,2,2,0,47,-60,23,situps
2,2,2,0,13,-40,24,situps
2,2,2,0,-11,-25,5,situps
2,2,2,0,-11,-25,5,situps
1,0,1,0,-31,29,-6,situps
-1,-1,-1,0,-45,66,-24,situps
-1,-1,-1,0,-77,104,-19,situps
-1,-1,-1,0,-77,104,-19,situps
-3,-1,-1,0,-29,141,-8,situps
-2,-2,0,0,-29,141,-8,situps
-2,-1,-1,0,1,136,-13,situps
0,-1,-2,0,-32,91,-44,situps
1,0,-2,0,-32,91,-44,situps
1,0,-2,0,-48,56,-26,situps
0,-1,-2,0,-48,56,-26,situps
-1,-1,-1,0,-61,35,7,situps
-1,-2,-1,0,-96,10,15,situps
-1,-2,-1,0,-96,10,15,situps
-1,-1,-1,0,3,-5,2,situps
-1,-1,-1,0,3,-5,2,situps
0,0,0,0,31,-41,-5,situps
0,0,0,0,31,-41,-5,situps
0,0,0,0,45,-58,-2,situps
1,0,0,0,45,-58,-2,situps
1,1,0,0,57,-78,-12,situps
1,1,1,0,59,-99,0,situps
1,0,1,0,59,-99,0,situps
0,0,1,0,58,-106,15,situps
0,1,2,0,58,-106,15,situps
1,1,2,0,40,-113,14,situps
2,2,2,0,39,-95,17,situps
2,2,2,0,39,-95,17,situps
2,2,2,0,29,-69,25,situps
2,2,2,0,12,-39,9,situps
3,1,1,0,-20,19,-1,situps
1,1,0,0,-20,19,-1,situps
0,-1,0,0,-44,61,-12,situps
-1,0,-1,0,-44,61,-12,situps
-2,0,-1,0,6,105,-35,situps
-2,-1,0,0,-27,134,-24,situps
-3,-1,0,0,-27,134,-24,situps
-3,-1,-1,0,-53,134,-17,situps
-3,-1,-1,0,-53,134,-17,situps
-2,-1,-2,0,-2,131,-23,situps
0,-1,-2,0,-42,82,-21,situps
1,0,-3,0,-71,46,-9,situps
-1,-1,-2,0,-71,46,-9,situps
-1,-1,-2,0,-71,46,-9,situps
-1,-1,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
-1,0,-1,0,-29,19,1,situps
3,3,3,0,-26,64,-7,situps
1,1,2,0,-19,107,-21,situps
0,1,1,0,-19,107,-21,situps
-1,0,1,0,-48,125,-30,situps
-3,0,0,0,5,152,-28,situps
-1,0,-2,0,-14,124,-34,situps
0,0,-2,0,-14,124,-34,situps
1,0,-2,0,-56,91,-20,situps
1,0,-2,0,-86,50,-4,situps
0,-1,-1,0,-86,50,-4,situps
0,-1,-1,0,-55,33,6,situps
-1,-1,0,0,-55,33,6,situps
-1,0,0,0,-14,9,-4,situps
-1,0,0,0,-9,-45,-15,situps
-1,0,0,0,-9,-45,-15,situps
-1,0,0,0,36,-66,2,situps
-1,0,0,0,36,-66,2,situps
-1,0,0,0,36,-66,2,situps
-1,0,0,0,36,-66,2,situps
-1,0,0,0,36,-66,2,situps
2,0,1,0,53,-111,0,situps
2,1,2,0,39,-114,-4,situps
2,1,2,0,39,-114,-4,situps
2,1,2,0,49,-103,14,situps
2,1,2,0,49,-103,14,situps
3,2,2,0,52,-81,18,situps
4,2,2,0,-5,-57,20,situps
3,2,2,0,-5,-57,20,situps
3,1,1,0,-36,-2,-5,situps
0,0,-1,0,14,60,-8,situps
-1,-2,-1,0,-16,97,-20,situps
-2,-1,-1,0,-16,97,-20,situps
-3,-1,-1,0,-56,129,-32,situps
-4,-1,-1,0,-56,129,-32,situps
-4,-2,-1,0,-81,149,-1,situps
-4,-2,-1,0,-17,174,3,situps
-4,-2,-1,0,-17,174,3,situps
-4,-2,-2,0,-100,135,12,situps
0,-1,-2,0,-100,135,12,situps
1,-1,-2,0,-96,74,-15,situps
1,0,-2,0,-80,37,-7,situps
0,-1,-1,0,-80,37,-7,situps
-1,1,1,0,-34,18,11,situps
-1,-2,-1,0,-34,18,11,situps
-1,-1,-1,0,74,-39,-26,situps
-1,-1,-1,0,58,-72,-21,situps
0,0,-1,0,58,-73,-18,situps
1,0,0,0,58,-73,-18,situps
1,0,0,0,64,-88,-27,situps
1,1,1,0,90,-106,-18,situps
1,0,1,0,90,-106,-18,situps
0,0,2,0,62,-125,7,situps
1,1,3,0,62,-125,7,situps
1,1,3,0,68,-119,6,situps
2,1,1,0,39,-121,20,situps
2,1,1,0,39,-121,20,situps
3,2,1,0,39,-121,20,situps
3,2,0,0,-14,-61,9,situps
3,3,0,0,26,24,-21,situps
2,2,1,0,26,24,-21,situps
0,0,1,0,-8,83,-12,situps
-1,-1,0,0,-8,83,-12,situps
-2,-1,0,0,-16,114,-59,situps
-3,-1,0,0,-55,145,-45,situps
-4,-1,1,0,-55,145,-45,situps
-3,-3,-1,0,-40,147,-34,situps
-3,-1,-1,0,-29,159,-8,situps
-2,-1,-1,0,-100,97,-20,situps
1,-1,-2,0,-100,97,-20,situps
2,-1,-2,0,-99,49,-8,situps
1,-1,-2,0,-99,49,-8,situps
-1,-1,-1,0,-42,41,6,situps
-2,-1,0,0,-8,10,17,situps
-1,0,-1,0,16,-54,-18,situps
-1,0,0,0,16,-54,-18,situps
-1,0,0,0,35,-80,2,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
0,0,-1,0,29,-101,-1,situps
6,4,4,0,29,-101,-1,situps
6,4,4,0,13,-34,0,situps
5,2,3,0,13,-34,0,situps
3,2,1,0,4,18,-9,situps
1,1,0,0,-23,76,-25,situps
0,1,0,0,-23,76,-25,situps
-1,0,1,0,-39,113,-37,situps
-3,0,0,0,-39,113,-37,situps
-3,-1,0,0,-48,126,-45,situps
-3,-1,-1,0,-53,143,-33,situps
-3,-1,-2,0,-25,142,-31,situps
-1,-1,-2,0,-25,142,-31,situps
-1,-1,-2,0,-25,142,-31,situps
1,-1,-2,0,-110,52,7,situps
1,-1,-1,0,-110,52,7,situps
0,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
-2,-1,0,0,-66,34,11,situps
6,4,4,0,46,-58,7,situps
5,4,3,0,-16,-54,14,situps
4,3,0,0,-12,167,-35,situps
-4,-2,0,0,-12,167,-35,situps
-4,-3,-1,0,-12,167,-35,situps
-3,-2,-2,0,-31,135,-14,situps
-1,-2,-2,0,-31,135,-14,situps
-1,-1,-2,0,-86,47,1,situps
-2,-1,-1,0,-86,47,1,situps
-1,-1,0,0,-44,35,11,situps
-1,0,0,0,-44,35,11,situps
-1,0,0,0,-13,-33,-10,situps
-1,0,0,0,34,-80,3,situps
-2,-1,0,0,34,-80,3,situps
-1,-1,0,0,38,-110,10,situps
0,-1,-1,0,38,-110,10,situps
1,0,-1,0,39,-139,-30,situps
2,1,0,0,72,-139,-22,situps
