x_axis,y_axis,z_axis,ax_axis,ay_axis,az_axis,activity_type
-1,-13,11,1,0,2,situps
35,-7,5,1,2,3,situps
-7,-5,5,1,1,2,situps
14,8,-4,1,1,3,situps
-10,10,-2,1,1,1,situps
16,15,-2,1,1,3,situps
-13,19,-5,0,0,0,situps
-9,18,2,0,0,0,situps
-30,22,0,0,0,-1,situps
-22,32,4,-1,-1,-1,situps
-59,35,-5,0,0,-3,situps
-38,57,7,-2,-1,-2,situps
-42,62,9,-1,-1,-2,situps
-47,86,4,-2,-1,0,situps
-87,77,10,-2,-1,-3,situps
-36,102,17,-1,-2,0,situps
-49,79,15,-2,-1,-2,situps
-16,102,24,0,-1,-1,situps
-18,79,22,-1,0,-1,situps
-90,91,22,0,0,-3,situps
-79,86,24,-1,0,-1,situps
-113,83,27,0,-1,-3,situps
-58,93,29,-1,-1,0,situps
-92,76,32,0,-1,-2,situps
-63,87,28,-1,-1,0,situps
-62,64,33,-1,-1,0,situps
-45,72,19,-1,-1,0,situps
-45,49,18,-2,-1,1,situps
-66,28,17,-2,-1,-1,situps
-45,36,9,-2,-1,-1,situps
-33,29,7,-2,0,-1,situps
-19,16,6,-1,-1,-1,situps
6,7,0,-1,0,0,situps
28,1,-10,0,-1,-1,situps
7,-8,-13,0,1,0,situps
41,-21,-19,0,-1,0,situps
39,-33,-22,0,0,2,situps
54,-55,-32,0,-1,1,situps
77,-76,-40,1,-1,2,situps
71,-94,-45,1,0,1,situps
70,-108,-47,1,0,0,situps
67,-120,-54,1,0,0,situps
80,-121,-58,2,1,0,situps
74,-123,-47,1,1,-1,situps
78,-119,-41,2,1,-1,situps
60,-112,-27,1,2,-1,situps
62,-108,-14,1,1,0,situps
80,-94,-6,0,2,1,situps
21,-87,8,1,2,0,situps
72,-78,9,2,1,1,situps
64,-64,22,1,2,1,situps
7,-48,19,2,2,0,situps
33,-23,16,2,0,1,situps
51,-13,8,1,1,3,situps
18,6,8,2,1,2,situps
54,9,3,1,1,4,situps
8,6,1,1,2,4,situps
-26,11,2,1,1,3,situps
23,12,-4,0,1,3,situps
-22,21,0,0,1,3,situps
-3,21,3,0,0,2,situps
39,20,4,0,1,1,situps
-36,18,2,0,1,1,situps
5,26,7,0,0,0,situps
3,25,-3,0,0,-1,situps
-46,27,-3,-1,-1,-2,situps
-51,40,-8,-1,-1,-2,situps
-62,45,-8,-1,0,-5,situps
-34,93,1,-1,-2,-2,situps
-32,84,-4,-2,-1,-2,situps
-41,112,8,0,-1,-1,situps
-60,88,9,-2,-1,-2,situps
-59,115,17,0,-2,-2,situps
-20,95,15,-2,0,-1,situps
-80,89,17,0,-1,-3,situps
-61,91,9,0,0,0,situps
-113,78,11,0,-1,-2,situps
-91,90,17,-1,-1,-1,situps
-91,77,27,-1,-1,-1,situps
-54,85,21,-1,-1,-1,situps
-3,81,21,-2,-1,1,situps
-63,67,28,-2,-2,-1,situps
-44,68,18,-3,-1,1,situps
-60,43,22,-2,-1,0,situps
-59,35,21,-1,-1,-1,situps
-19,22,14,-1,0,-1,situps
-66,3,8,0,0,0,situps
-70,-7,-1,0,-1,-1,situps
27,6,-4,0,0,-2,situps
49,-8,-1,0,0,-1,situps
47,-10,-10,-1,0,1,situps
17,-21,-18,0,-1,1,situps
57,-35,-26,0,-1,1,situps
80,-58,-30,1,0,2,situps
74,-81,-38,1,1,2,situps
54,-102,-43,2,0,1,situps
65,-117,-46,1,0,0,situps
55,-125,-43,1,0,0,situps
65,-129,-41,1,0,-1,situps
74,-129,-36,1,1,-1,situps
50,-122,-27,1,0,-1,situps
75,-117,-22,0,1,-1,situps
58,-105,-9,1,1,-1,situps
69,-90,-4,1,2,1,situps
56,-83,1,2,1,0,situps
42,-64,4,1,1,2,situps
33,-47,5,3,1,1,situps
63,-21,4,1,1,2,situps
49,-12,2,1,2,4,situps
9,-8,7,1,1,2,situps
22,-4,2,2,2,5,situps
-3,-11,-4,1,0,3,situps
-1,-3,-10,1,1,3,situps
-10,8,-4,1,1,3,situps
-2,11,-9,0,0,2,situps
-5,20,-10,1,1,2,situps
-4,26,-2,1,0,0,situps
-23,29,-2,0,0,-1,situps
-26,43,4,0,-1,-1,situps
-26,45,3,-1,0,-1,situps
-106,56,2,-1,0,-4,situps
0,84,12,-2,-2,0,situps
-72,73,9,-2,-1,-3,situps
-51,113,19,-1,-2,0,situps
-24,88,22,-2,-1,-1,situps
-40,111,27,-2,-1,-1,situps
-40,92,25,-1,-1,-2,situps
-51,101,26,-1,-1,-2,situps
-40,87,15,-1,0,0,situps
-91,74,11,0,-1,-4,situps
-70,90,12,0,0,-2,situps
-80,70,21,0,0,-1,situps
-84,86,22,0,-1,-3,situps
-71,76,23,-1,0,0,situps
-102,65,29,0,-2,-2,situps
-51,65,20,-1,-1,1,situps
-83,35,28,-1,-1,-1,situps
-69,43,23,-1,-2,-2,situps
-36,29,11,-1,0,0,situps
-96,14,16,-1,-1,-1,situps
-55,9,11,-1,-1,0,situps
-83,-1,6,-1,0,0,situps
-14,-7,4,-1,-1,-1,situps
59,-13,-18,0,-1,-1,situps
78,-17,-24,0,0,0,situps
38,-24,-25,0,0,0,situps
63,-35,-30,0,-1,1,situps
62,-54,-39,0,0,1,situps
66,-66,-48,1,0,1,situps
64,-80,-57,1,0,1,situps
71,-96,-60,1,0,1,situps
79,-101,-66,2,1,0,situps
105,-107,-56,1,1,0,situps
83,-116,-41,1,1,0,situps
88,-116,-39,1,1,-1,situps
82,-111,-25,0,1,0,situps
52,-107,-10,1,1,-1,situps
67,-94,-4,0,1,0,situps
33,-85,-1,1,2,0,situps
73,-67,-1,2,0,0,situps
55,-48,-1,3,3,3,situps
27,-40,4,1,1,2,situps
58,-15,8,1,1,3,situps
76,-16,8,1,1,4,situps
13,-14,-3,0,2,5,situps
-26,-21,1,1,3,4,situps
8,-12,8,2,0,1,situps
25,-3,-5,1,1,4,situps
-30,2,-7,1,1,2,situps
-21,13,7,1,-1,0,situps
24,23,2,0,1,2,situps
-32,29,0,1,0,-1,situps
15,38,9,0,0,0,situps
-16,35,1,0,0,-1,situps
-22,38,2,-1,0,-1,situps
-56,46,1,-1,0,-3,situps
-18,67,1,-1,-2,-2,situps
-59,65,-11,-2,0,-2,situps
-15,86,-1,-1,-1,-2,situps
-34,89,3,-1,0,-2,situps
-9,100,5,-1,-2,-1,situps
-34,86,-3,-1,0,-2,situps
-84,99,5,-1,-1,-3,situps
-50,108,9,0,-1,-2,situps
-60,109,3,0,0,-1,situps
-52,105,8,-1,-1,-2,situps
-74,120,18,-1,0,-1,situps
-49,92,31,-2,-1,0,situps
-122,91,28,0,-1,0,situps
-89,81,20,-2,-2,1,situps
-77,52,20,-2,-1,-1,situps
-120,64,27,-2,-1,-1,situps
-48,34,13,-1,-2,0,situps
-60,15,11,0,-1,0,situps
-68,15,7,0,0,0,situps
-146,-27,3,-1,0,0,situps
35,-6,0,-1,-1,-1,situps
44,-18,-16,0,0,-1,situps
56,-25,-21,0,-1,-1,situps
70,-33,-32,0,0,0,situps
43,-56,-35,0,0,0,situps
43,-68,-45,1,0,0,situps
84,-80,-50,2,0,0,situps
90,-90,-45,2,0,0,situps
111,-103,-42,2,0,0,situps
81,-110,-34,1,1,0,situps
71,-113,-31,1,0,0,situps
85,-113,-24,1,1,0,situps
101,-110,-12,0,1,0,situps
71,-117,-3,0,1,0,situps
45,-97,0,-1,2,0,situps
40,-87,5,1,1,0,situps
46,-76,-5,1,2,1,situps
36,-48,1,1,2,0,situps
34,-41,1,2,1,1,situps
44,-23,5,1,2,3,situps
26,-11,11,3,1,3,situps
62,-8,7,1,2,5,situps
56,-6,5,1,1,4,situps
4,-13,1,1,3,4,situps
-42,2,0,1,0,2,situps
15,0,-11,1,1,2,situps
36,20,-10,1,2,2,situps
-7,13,-6,0,0,1,situps
-24,18,-2,1,1,-1,situps
-10,24,7,0,-1,0,situps
-11,22,-1,0,0,-2,situps
-61,31,1,0,-1,-3,situps
-24,45,-7,0,-1,-2,situps
-32,53,-10,-1,-1,-3,situps
-85,80,-8,-1,-1,-3,situps
-66,87,-8,-2,-1,-2,situps
-30,102,8,0,-2,-2,situps
29,110,8,-3,-1,-1,situps
-34,118,17,0,-1,1,situps
-33,97,19,-1,0,-1,situps
-67,88,9,0,-1,-4,situps
-56,99,-2,0,0,-1,situps
-70,89,-5,0,-1,-1,situps
-67,109,-15,-1,-1,-3,situps
-55,100,8,-1,0,0,situps
-82,105,26,-2,-2,0,situps
-59,84,29,-1,0,2,situps
-143,63,41,-2,-1,0,situps
-117,42,45,-3,-1,1,situps
-190,9,46,-1,-1,-1,situps
-131,8,21,0,-2,-1,situps
-52,7,-7,-1,-1,-1,situps
13,4,-14,-1,-1,-2,situps
63,-18,-15,-1,0,-1,situps
42,-21,-20,0,0,0,situps
30,-27,-27,0,0,1,situps
42,-36,-29,0,-1,1,situps
104,-53,-27,0,-3,2,situps
106,-82,-29,1,1,2,situps
60,-111,-40,1,0,1,situps
33,-131,-57,1,0,0,situps
61,-132,-68,1,0,-1,situps
82,-134,-68,2,1,-1,situps
79,-137,-63,2,1,-2,situps
69,-123,-49,1,1,-2,situps
50,-108,-32,1,2,-2,situps
41,-85,-21,2,1,-1,situps
46,-69,-14,1,2,0,situps
66,-57,-10,2,1,1,situps
53,-60,-8,2,3,1,situps
17,-35,-4,1,0,3,situps
-4,-19,10,1,1,3,situps
-45,-16,24,1,-1,3,situps
37,-8,7,2,1,6,situps
39,-2,-2,1,-1,2,situps
41,-2,-2,1,2,4,situps
76,-1,-3,1,0,2,situps
-3,-4,-4,0,2,4,situps
-40,12,-8,1,1,1,situps
34,18,-5,1,1,2,situps
18,20,-6,0,-1,1,situps
-36,15,-15,0,2,1,situps
-88,27,-2,0,0,-3,situps
-8,44,7,-1,0,-3,situps
-13,68,4,-1,-1,-1,situps
-64,70,4,-3,0,-2,situps
-96,100,4,0,-1,-2,situps
39,98,10,-3,1,0,situps
-80,111,22,-2,-3,-2,situps
-25,107,21,-2,0,1,situps
-135,104,36,-2,-1,-4,situps
-46,119,42,0,-2,0,situps
-29,108,33,-1,0,-3,situps
-18,112,24,0,-1,-3,situps
-82,106,26,0,1,0,situps
-128,90,31,0,-2,-3,situps
-37,81,19,0,0,-1,situps
-87,72,25,0,-2,-1,situps
-56,48,19,0,-1,0,situps
-130,36,31,-1,-1,-1,situps
-87,36,24,-1,-2,-1,situps
-65,12,10,-2,-1,-1,situps
-78,8,13,-1,-1,-1,situps
-56,2,10,-1,-1,-1,situps
-34,-2,-2,-1,0,0,situps
30,4,-12,-1,-1,-1,situps
30,-11,-21,-2,0,-1,situps
65,-20,-33,-1,-1,0,situps
69,-30,-46,-1,0,2,situps
49,-51,-52,0,-1,2,situps
65,-69,-52,0,-1,1,situps
90,-88,-60,1,0,1,situps
94,-96,-66,2,0,1,situps
90,-110,-69,2,0,0,situps
119,-114,-62,2,0,-1,situps
117,-113,-42,1,1,-1,situps
89,-114,-30,1,1,-1,situps
54,-105,-14,1,1,-1,situps
58,-94,-9,1,1,0,situps
44,-78,0,1,2,0,situps
68,-70,-2,2,1,2,situps
54,-67,6,1,1,1,situps
99,-59,14,0,1,-2,situps
183,-30,28,1,4,3,situps
-52,-44,22,2,1,1,situps
45,-17,20,1,2,1,situps
11,-14,14,0,1,5,situps
-71,-11,-1,2,2,2,situps
-5,3,14,0,1,3,situps
-32,4,4,1,1,5,situps
-15,13,-3,1,0,4,situps
46,22,13,0,1,4,situps
-6,11,7,1,-1,1,situps
-1,23,6,0,1,2,situps
-13,21,-2,1,1,0,situps
19,24,15,0,-1,-2,situps
8,31,1,0,0,0,situps
-43,22,2,0,-1,-2,situps
-36,28,-10,-1,-1,-2,situps
-33,41,-14,0,-1,-3,situps
-37,62,-9,-1,0,-3,situps
-43,79,-7,-1,-1,-3,situps
-8,96,-12,-2,0,-1,situps
-43,92,-3,-3,0,-3,situps
-85,115,-7,0,-1,-1,situps
8,105,-7,-1,-1,0,situps
-43,115,2,-2,-1,-4,situps
-71,113,2,0,0,0,situps
-95,85,8,0,-1,-2,situps
-79,104,22,-1,-1,-2,situps
-95,90,21,0,0,0,situps
-103,94,18,-1,-1,-1,situps
-48,72,19,-1,-1,0,situps
-59,65,14,-1,-1,0,situps
-87,44,10,-2,0,1,situps
-109,27,24,-1,-2,-1,situps
-39,38,29,-1,-2,-2,situps
0,25,15,-1,0,0,situps
-54,10,12,-1,0,-1,situps
-85,9,-3,-1,0,0,situps
-29,-9,-5,-1,0,-1,situps
18,-11,-7,-1,-1,-1,situps
78,-14,-25,0,0,0,situps
43,-19,-30,0,0,1,situps
47,-39,-34,0,-1,1,situps
67,-59,-37,0,-1,1,situps
85,-80,-43,1,0,2,situps
62,-101,-51,2,1,1,situps
65,-118,-58,2,0,0,situps
85,-131,-58,2,1,0,situps
85,-133,-44,1,1,0,situps
69,-138,-32,1,0,-1,situps
87,-130,-13,0,0,-2,situps
72,-124,6,0,1,-1,situps
61,-105,7,1,1,-1,situps
91,-83,13,1,2,0,situps
69,-68,19,1,1,1,situps
85,-45,24,2,2,2,situps
11,-47,30,1,1,2,situps
12,-29,10,1,1,2,situps
-12,-12,17,1,2,3,situps
10,6,2,2,-1,4,situps
53,8,-16,2,2,6,situps
-12,-1,-16,1,2,3,situps
-37,1,-10,1,2,3,situps
-4,11,-5,0,0,2,situps
-28,15,-6,1,1,1,situps
7,22,-3,0,0,1,situps
1,16,0,1,0,0,situps
-13,24,4,0,0,-1,situps
-39,22,1,0,0,-2,situps
-5,29,-3,0,0,-2,situps
-39,33,-4,0,-1,-3,situps
-29,53,-4,0,-1,-2,situps
-18,71,9,-1,-1,-2,situps
-27,90,10,-2,0,-2,situps
-40,100,17,-2,-2,0,situps
-29,87,10,-2,0,-1,situps
-61,98,18,-1,-1,-1,situps
-22,94,17,-2,-1,-1,situps
-64,102,18,-2,-1,-3,situps
-52,102,15,-1,-1,-1,situps
-52,101,18,0,-1,-3,situps
-40,105,12,0,0,-1,situps
-52,92,14,-1,-1,-2,situps
-65,92,1,0,0,-1,situps
-74,93,5,-1,-1,0,situps
-41,66,12,-1,-1,0,situps
-122,60,14,-1,0,0,situps
-155,28,34,-1,-2,0,situps
-147,26,49,-1,-2,-1,situps
-106,41,47,-2,-1,0,situps
-69,22,43,-1,-1,0,situps
-132,-2,19,0,0,0,situps
-56,-4,1,-1,-2,-2,situps
87,-15,-13,-1,0,-1,situps
77,-21,-16,-1,1,-1,situps
25,-23,-21,0,1,0,situps
7,-25,-30,0,0,0,situps
24,-37,-38,0,-1,0,situps
79,-46,-48,1,-1,1,situps
98,-69,-54,1,0,2,situps
85,-86,-54,0,0,2,situps
75,-109,-52,1,0,1,situps
71,-123,-57,2,0,1,situps
65,-130,-57,1,0,0,situps
65,-135,-54,1,0,-1,situps
58,-130,-55,1,0,-1,situps
68,-120,-53,1,1,-2,situps
54,-104,-45,1,1,-2,situps
42,-90,-31,2,3,1,situps
20,-76,-24,1,2,1,situps
10,-73,-18,1,1,0,situps
41,-60,-29,2,1,1,situps
10,-30,-11,0,0,1,situps
55,-14,-18,2,1,4,situps
54,-7,-9,1,0,3,situps
59,7,-6,1,2,6,situps
39,10,-2,2,0,3,situps
66,-6,3,1,3,5,situps
-35,-15,7,1,-1,2,situps
-18,-3,5,1,1,1,situps
4,14,8,1,0,1,situps
15,15,4,1,0,1,situps
0,17,1,0,1,0,situps
-41,25,7,0,0,-1,situps
-1,34,8,-1,0,-1,situps
-17,35,10,0,0,-2,situps
-28,50,9,-1,0,-2,situps
-32,67,9,-1,0,-2,situps
-60,81,20,-3,0,-4,situps
-57,110,24,-2,-2,-1,situps
-24,108,13,-2,0,0,situps
-97,112,26,-2,-1,-3,situps
-38,130,30,-2,-2,1,situps
-43,111,23,-2,-1,-2,situps
-72,125,30,-2,-1,-1,situps
-41,116,33,-1,-1,-1,situps
-49,102,18,1,0,-1,situps
-56,95,22,0,0,-2,situps
-72,88,22,0,-1,-2,situps
-55,82,2,1,0,0,situps
-82,55,8,0,0,0,situps
-99,40,11,0,-1,-2,situps
-72,32,6,0,0,-1,situps
-101,13,13,-2,-1,-1,situps
-110,7,16,-1,-2,-1,situps
-77,0,4,-1,-1,-1,situps
-67,-1,3,-1,-1,-1,situps
-7,2,5,-1,-2,-1,situps
37,-7,0,-1,0,0,situps
35,-12,-16,-1,0,-1,situps
48,-22,-32,-1,0,0,situps
40,-34,-40,0,0,1,situps
58,-47,-48,0,-1,1,situps
61,-63,-49,1,-1,1,situps
95,-78,-58,1,0,1,situps
106,-92,-65,2,0,2,situps
87,-107,-68,2,0,1,situps
96,-122,-64,2,0,0,situps
94,-124,-51,1,1,0,situps
63,-126,-41,1,1,0,situps
89,-118,-33,1,1,-1,situps
39,-101,-14,1,2,-1,situps
29,-86,-7,1,1,0,situps
72,-95,4,0,2,-2,situps
113,-66,19,1,2,1,situps
15,-50,23,1,2,1,situps
35,-32,22,1,0,2,situps
39,-30,22,2,1,3,situps
21,-21,15,2,1,3,situps
37,-10,11,3,1,4,situps
62,-17,5,1,2,5,situps
-73,-21,-3,1,1,1,situps
42,7,0,0,1,4,situps
-45,12,-2,0,0,2,situps
-40,23,7,0,1,2,situps
6,25,0,1,-1,3,situps
-12,24,-3,1,1,1,situps
-14,22,4,0,0,0,situps
-22,18,3,0,0,-1,situps
-17,25,0,0,0,-2,situps
-35,34,5,-1,-1,-2,situps
-37,42,-11,-1,0,-3,situps
-54,57,0,-1,-1,-4,situps
0,84,-1,-1,-2,0,situps
-34,75,-5,-2,1,-3,situps
-64,110,5,-1,-2,-2,situps
28,100,4,-2,-1,1,situps
-32,104,8,-1,0,-3,situps
-1,124,14,-2,-2,-1,situps
-4,110,15,-3,0,-2,situps
-105,110,5,0,0,-1,situps
-80,115,9,-1,-1,-1,situps
-66,111,13,0,0,-1,situps
-56,99,20,-1,0,-1,situps
-85,94,26,-1,0,-1,situps
-50,74,24,0,0,0,situps
-117,65,29,-2,-1,-2,situps
-73,42,25,-1,-1,2,situps
-128,4,26,-1,-1,0,situps
-143,2,18,0,-2,-2,situps
-89,0,12,-1,-1,-1,situps
-79,-5,8,-1,-2,-1,situps
11,-7,0,-1,-2,-2,situps
81,0,-14,0,0,-1,situps
84,-7,-26,0,0,0,situps
70,-24,-30,0,0,1,situps
45,-43,-32,0,0,0,situps
48,-56,-37,0,0,0,situps
63,-67,-43,1,0,1,situps
70,-77,-43,0,0,0,situps
74,-89,-41,1,0,0,situps
68,-94,-40,1,1,0,situps
64,-100,-43,1,1,0,situps
67,-103,-33,1,1,0,situps
70,-102,-24,1,1,1,situps
60,-107,-20,1,1,0,situps
55,-106,-16,1,1,0,situps
68,-105,-5,0,1,0,situps
37,-96,2,1,1,-1,situps
76,-76,19,1,2,0,situps
52,-57,37,1,0,1,situps
11,-47,23,1,2,3,situps
39,-35,11,1,1,1,situps
65,-23,-5,1,-1,3,situps
9,-28,-23,1,3,5,situps
-12,-38,0,1,3,1,situps
18,-16,-3,1,2,5,situps
-44,-5,-18,1,0,4,situps
15,9,-4,1,1,2,situps
34,23,-2,1,-1,4,situps
-4,14,-2,1,1,3,situps
-28,20,-3,0,0,1,situps
42,12,8,0,0,0,situps
-36,21,0,0,-1,-2,situps
-4,19,3,0,0,-1,situps
4,19,-8,1,0,-1,situps
14,19,7,0,0,-2,situps
