activity_id,ax_axis,ay_axis,az_axis,id,magn_z,text,time,x_axis,y_axis,z_axis
0,0,0,0,76,0,"andreysv, pause",1.5337E+12,-5,4,6
0,0,0,0,77,0,"andreysv, pause",1.5337E+12,-4,5,5
0,0,0,0,78,0,"andreysv, pause",1.5337E+12,-5,3,1
0,0,0,0,79,0,"andreysv, pause",1.5337E+12,-5,3,1
0,0,0,0,80,0,"andreysv, pause",1.5337E+12,-2,2,-1
0,0,0,0,81,0,"andreysv, pause",1.5337E+12,4,-4,-1
0,0,0,0,82,0,"andreysv, pause",1.5337E+12,4,-2,5
0,0,0,0,83,0,"andreysv, pause",1.5337E+12,4,-2,5
0,0,0,0,84,0,"andreysv, pause",1.5337E+12,3,-6,7
0,0,0,0,85,0,"andreysv, pause",1.5337E+12,3,-6,7
0,0,0,0,86,0,"andreysv, pause",1.5337E+12,1,-6,5
0,0,0,0,87,0,"andreysv, pause",1.5337E+12,-2,-3,9
0,0,0,0,88,0,"andreysv, pause",1.5337E+12,-2,-3,9
0,0,0,0,89,0,"andreysv, pause",1.5337E+12,0,-1,6
0,0,0,0,90,0,"andreysv, pause",1.5337E+12,0,-1,6
0,0,0,0,91,0,"andreysv, pause",1.5337E+12,3,1,3
0,0,0,0,92,0,"andreysv, pause",1.5337E+12,15,2,1
0,0,0,0,93,0,"andreysv, pause",1.5337E+12,15,2,1
0,0,0,0,94,0,"andreysv, pause",1.5337E+12,9,0,-1
0,0,0,0,95,0,"andreysv, pause",1.5337E+12,9,0,-1
0,0,0,0,96,0,"andreysv, pause",1.5337E+12,10,-3,0
0,0,0,0,97,0,"andreysv, pause",1.5337E+12,11,0,-2
0,0,0,0,98,0,"andreysv, pause",1.5337E+12,6,4,-2
0,0,0,0,99,0,"andreysv, pause",1.5337E+12,6,4,-2
0,0,0,0,100,0,"andreysv, pause",1.5337E+12,5,2,-1
0,0,0,0,101,0,"andreysv, pause",1.5337E+12,5,2,-1
0,0,0,0,102,0,"andreysv, pause",1.5337E+12,8,12,3
0,0,0,0,103,0,"andreysv, pause",1.5337E+12,8,12,3
0,0,0,0,104,0,"andreysv, pause",1.5337E+12,6,4,1
0,0,0,0,105,0,"andreysv, pause",1.5337E+12,-2,0,-2
0,0,0,0,106,0,"andreysv, pause",1.5337E+12,-2,0,-2
0,0,0,0,107,0,"andreysv, pause",1.5337E+12,-5,2,-2
0,0,0,0,108,0,"andreysv, pause",1.5337E+12,-5,2,-2
0,0,0,0,109,0,"andreysv, pause",1.5337E+12,-4,1,-4
0,0,0,0,110,0,"andreysv, pause",1.5337E+12,-4,1,-4
0,0,0,0,111,0,"andreysv, pause",1.5337E+12,-7,0,-2
0,0,0,0,112,0,"andreysv, pause",1.5337E+12,-7,0,-2
0,0,0,0,113,0,"andreysv, pause",1.5337E+12,-12,-3,-3
0,0,0,0,114,0,"andreysv, pause",1.5337E+12,-11,-4,-2
0,0,0,0,115,0,"andreysv, pause",1.5337E+12,-11,-4,-2
0,0,0,0,116,0,"andreysv, pause",1.5337E+12,-7,-4,0
0,0,0,0,117,0,"andreysv, pause",1.5337E+12,-7,-4,0
0,0,0,0,118,0,"andreysv, pause",1.5337E+12,-4,-3,1
0,0,0,0,119,0,"andreysv, pause",1.5337E+12,-4,-1,2
0,0,0,0,120,0,"andreysv, pause",1.5337E+12,-4,-1,2
0,0,0,0,121,0,"andreysv, pause",1.5337E+12,-1,0,0
0,0,0,0,122,0,"andreysv, pause",1.5337E+12,-2,0,0
0,0,0,0,123,0,"andreysv, pause",1.5337E+12,-2,1,2
0,0,0,0,124,0,"andreysv, pause",1.5337E+12,-2,1,2
0,0,0,0,125,0,"andreysv, pause",1.5337E+12,-10,0,2
0,0,0,0,126,0,"andreysv, pause",1.5337E+12,-10,0,2
0,0,0,0,127,0,"andreysv, pause",1.5337E+12,-7,4,6
0,0,0,0,128,0,"andreysv, pause",1.5337E+12,-5,9,7
0,0,0,0,129,0,"andreysv, pause",1.5337E+12,-5,9,7
0,0,0,0,130,0,"andreysv, pause",1.5337E+12,-12,14,4
0,0,0,0,131,0,"andreysv, pause",1.5337E+12,-12,14,4
0,0,0,0,132,0,"andreysv, pause",1.5337E+12,-11,21,4
0,0,0,0,133,0,"andreysv, pause",1.5337E+12,-13,24,3
0,0,0,0,134,0,"andreysv, pause",1.5337E+12,-13,24,3
0,0,0,0,135,0,"andreysv, pause",1.5337E+12,4,36,10
0,0,0,0,136,0,"andreysv, pause",1.5337E+12,4,36,10
0,0,0,0,137,0,"andreysv, pause",1.5337E+12,-7,37,15
0,0,0,0,138,0,"andreysv, pause",1.5337E+12,-25,27,14
0,0,0,0,139,0,"andreysv, pause",1.5337E+12,-25,27,14
0,0,0,0,140,0,"andreysv, pause",1.5337E+12,-28,30,16
0,0,0,0,141,0,"andreysv, pause",1.5337E+12,-33,25,18
0,0,0,-1,142,0,"andreysv, pause",1.5337E+12,-32,24,21
0,0,0,0,143,0,"andreysv, pause",1.5337E+12,-32,24,21
